name,popularity,followers,updated_genre
Charli XCX,81.0,2559092.0,'art pop'
Bee Gees,80.0,5421478.0,'disco'
Ninho,85.0,5689857.0,'french hip hop'
Dean Lewis,77.0,1931524.0,'australian pop'
The Police,77.0,4760133.0,'album rock'
Marvin Gaye,76.0,4474054.0,'classic soul'
Birdy,74.0,3434001.0,'pop'
ILLENIUM,78.0,1223567.0,'edm'
Boyce Avenue,76.0,2922880.0,'acoustic cover'
Lost Frequencies,82.0,2353252.0,'belgian edm'
Skillet,77.0,4213142.0,'alternative metal'
Danny Ocean,80.0,3701577.0,'latin'
Iron Maiden,76.0,7154398.0,'hard rock'
Lil Durk,88.0,3683750.0,'chicago drill'
Jack Harlow,88.0,1561336.0,'deep underground hip hop'
Tim McGraw,75.0,3896386.0,'contemporary country'
Rise Against,74.0,2474022.0,'chicago hardcore'
Maren Morris,78.0,632387.0,'contemporary country'
John Williams,76.0,1093850.0,'orchestral soundtrack'
A$AP Ferg,77.0,3257090.0,'hip hop'
T.I.,79.0,4091299.0,'atl hip hop'
Carly Rae Jepsen,75.0,4921645.0,'canadian pop'
Bradley Cooper,74.0,197214.0,'hollywood'
Juanes,78.0,3662729.0,'colombian pop'
The Doors,76.0,6497461.0,'acid rock'
Iggy Azalea,75.0,5897478.0,'australian hip hop'
Glass Animals,87.0,2511850.0,'gauze pop'
alt‐J,77.0,2989735.0,'indie rock'
Cage the Elephant,78.0,2809245.0,'modern rock'
Anderson .Paak,85.0,2119597.0,'escape room'
Weezer,76.0,2593409.0,'alternative rock'
Soda Stereo,77.0,6387271.0,'argentine rock'
Alec Benjamin,80.0,3323896.0,'alt z'
LANY,79.0,4441574.0,'la pop'
Mabel,76.0,1539450.0,'dance pop'
Sigala,77.0,1385482.0,'dance pop'
Hillsong Worship,76.0,3711802.0,'ccm'
Journey,76.0,4135980.0,'album rock'
Kenny Chesney,74.0,3797975.0,'contemporary country'
Eric Church,75.0,3307137.0,'contemporary country'
Nick Jonas,70.0,7944581.0,'dance pop'
Jeremy Zucker,79.0,1920098.0,'electropop'
Madison Beer,78.0,4531352.0,'alt z'
The Cure,77.0,3598150.0,'new wave'
Calibre 50,83.0,6728226.0,'musica mexicana'
SAINt JHN,77.0,825782.0,'melodic rap'
RAF Camora,79.0,1456121.0,'german hip hop'
Rex Orange County,82.0,3742797.0,'bedroom pop'
Noah Cyrus,76.0,951137.0,'dance pop'
Mau y Ricky,78.0,4614698.0,'latin'
MAGIC!,70.0,1251115.0,'reggae fusion'
The xx,70.0,3815145.0,'downtempo'
Arijit Singh,87.0,43062852.0,'desi pop'
Norah Jones,75.0,2746246.0,'adult standards'
Lunay,80.0,6157169.0,'latin'
ROSALÍA,83.0,5061891.0,'r&b en espanol'
Sam Feldt,78.0,677434.0,'dance pop'
Destiny’s Child,75.0,5424771.0,'dance pop'
JP Cooper,75.0,734024.0,'neo mellow'
Jon Bellion,73.0,1272441.0,'pop rap'
EXO,75.0,8895875.0,'k-pop'
Juan Gabriel,78.0,6258623.0,'cancion melodica'
Eric Clapton,75.0,4756439.0,'album rock'
iann dior,84.0,1518358.0,'melodic rap'
Kid Ink,74.0,2798964.0,'dance pop'
Normani,74.0,1765340.0,'dance pop'
Paul McCartney,74.0,3896955.0,'album rock'
X Ambassadors,76.0,2629628.0,'modern alternative rock'
Rich the Kid,74.0,2786986.0,'atl hip hop'
Jesse Cook,78.0,5832879.0,'latin'
Dimitri Vegas & Like Mike,74.0,3184039.0,'belgian dance'
Simon & Garfunkel,75.0,3940523.0,'classic rock'
Aminé,76.0,1745671.0,'hip hop'
Chris Stapleton,80.0,4116441.0,'contemporary country'
Depeche Mode,76.0,4529599.0,'dance rock'
Ufo361,76.0,1781436.0,'german cloud rap'
PNL,77.0,4817386.0,'french hip hop'
Conan Gray,82.0,5046948.0,'bedroom pop'
Outkastz,78.0,1891309.0,'atl hip hop'
Breaking Benjamin,74.0,3883961.0,'alternative metal'
Matoma,72.0,682218.0,'dance pop'
Korn,78.0,5300428.0,'alternative metal'
Hillsong UNITED,74.0,3321950.0,'ccm'
NLE Choppa,82.0,4274536.0,'memphis hip hop'
Becky Hill,79.0,429441.0,'dance pop'
Jax Jones,78.0,994029.0,'dance pop'
The Game,79.0,3822169.0,'gangster rap'
The Beach Boys,75.0,3534244.0,'baroque pop'
Maiara & Maraisa,84.0,10149015.0,'sertanejo'
AJR,78.0,2132551.0,'modern rock'
Volbeat,74.0,2046012.0,'alternative metal'
Jimi Hendrix,74.0,5485439.0,'acid rock'
Papa Roach,76.0,4303316.0,'alternative metal'
Sabrina Carpenter,76.0,4011871.0,'alt z'
Rick Ross,82.0,5636604.0,'dirty south rap'
R.E.M.,76.0,3407637.0,'alternative rock'
Os Barões da Pisadinha,79.0,5783675.0,'arrocha'
DNCE,73.0,4095278.0,'dance pop'
Bonez MC,79.0,1790717.0,'german hip hop'
B.o.B,77.0,1945616.0,'atl hip hop'
Christina Perri,75.0,3228148.0,'dance pop'
KYLE,72.0,1007993.0,'pop'
The Fray,74.0,3565802.0,'neo mellow'
Imanbek,79.0,136200.0,'dance pop'
Years & Years,76.0,1837869.0,'dance pop'
Juan Magán,74.0,1648694.0,'dance pop'
George Michael,76.0,3666422.0,
MARINA,79.0,3424195.0,'dance pop'
Summer Walker,82.0,3271939.0,'pop'
Calum Scott,83.0,4012259.0,'neo mellow'
Robbie Williams,75.0,2377241.0,'dance pop'
Ludovico Einaudi,83.0,2627704.0,'bow pop'
Shinedown,74.0,3329803.0,'alternative metal'
bbno$,78.0,1011952.0,'canadian hip hop'
All Time Low,75.0,2759111.0,'modern rock'
